id,sku,short_description,price,list_price,discount,discount_rate,review_count,product_name,brand_id,brand_name
278159875,1232886812856,"Người Ăn Chay.""Trên đời này có ai hiểu được phụ nữ muốn gì ư?"".Câu chuyện bắt đầu với Yeong‑hye, một phụ nữ nội trợ tại Seoul, bình thường đến mức không ai chú ý. Một đêm, bị ám ảnh bởi giấc mơ đầy ...",117000,150000,33000,22,13,0.0,0.0,
278150175,5866245151344,1. Thông tin chi tiếtCông ty phát hành: CÔNG TY TNHH WE UPNhà xuất bản: Dân TríTác giả: WEUPBOOKSNăm xuất bản: 2025Số trang: 1722. Nội dung sách:Cuốn sách cung cấp 12 nguyên tắc thực chiến giúp...,139000,150000,11000,7,1,0.0,0.0,
278101824,3151304183344,"ThuyềnTrong mênh mông sóng nước, có những con thuyền không chỉ chở người qua sông, mà còn chở ký ức, thân phận và cả những giấc mơ bị bỏ quên...Câu chuyện kể về một thanh niên “tôi” cùng bạn gái và ...",102400,128000,25600,20,15,0.0,0.0,
277891027,3164070138627,"Cẩm nang tài chính cá nhân bằng truyện tranh – dí dỏm, dịu dàng, nhưng cũng không kém phần “sát thương” bởi vì quá thực tế.Trong khi bạn bè đang check-in ở Biển Bali, Núi Phú Sĩ, Đỉnh Everest… thì bạ...",149000,199000,50000,25,13,0.0,0.0,
277809376,6179999342527,"Trong một thế giới vận hành ngày càng nhanh, nơi thông tin dồn dập và con người bị cuốn vào nhịp sống hiệu suất, cuốn sách Tư duy dã tràng – Tim trí giao tranh như một lời mời gọi quay trở về với nội ...",132000,160000,28000,18,33,0.0,0.0,
277728224,8328117300409,"Tuân Tử nói: “Nói năng hợp lý, đó gọi là hiểu biết; im lặng đúng lúc, đó cũng là hiểu biết”. Ngôn ngữ là thứ có thể thể hiện rõ nhất mức độ tu dưỡng của một người, nói năng hợp lý là một loại trí tuệ,...",126700,189000,62300,33,446,0.0,0.0,
276981137,1177466979477,"       Sách - Hội Chứng Tuổi Thanh Xuân - Light Novel        Các cô gái mặc đồ thỏ không cư ngụ trong thư viện. Thế nhưng, trái với hiểu biết thông thường ấy, Azusagawa Sakuta đã gặp một nàng th...",105000,105000,0,0,2,0.0,0.0,
276960030,7888506246746,"Khi Mọi Điều Không Như Ý.""Có những ngày, chỉ cần một hơi thở cũng đủ để sống tiếp.""Giữa nhịp sống vội vã, khi mọi thứ quanh ta dường như đều đang chống lại mình, những kế hoạch thất bại, những kỳ vọ...",87200,109000,21800,20,83,0.0,0.0,
276948798,2551569601283,"Trong thời đại công nghiệp hóa và số hóa, nơi mọi thứ đều hướng đến sự tối ưu, nhanh chóng và lợi nhuận, “Lên Đỉnh Núi Mở Tiệm Bánh Mì” là một câu chuyện ngược dòng đầy chất thơ và nhân văn. Một tiệm ...",90000,120000,30000,25,76,0.0,0.0,
276912755,5483137784217,Nội dung cuốn sách Tiến hóa nội tâm cùng Carl Jung Cuốn sách đi khám phá sự biến đổi và trưởng thành trong nội tâm Carl Jung cùng với những thành tựu và những câu chuyện trong suốt cuộc đời ông.Chươ...,145000,192000,47000,24,14,0.0,0.0,
276900136,1878825258281,TÁC GIẢ: Jonathan HaidtDịch giả: MokonaTHÔNG TIN XUẤT BẢN:Giá bìa: 229.000Kích thước: 13x20.5Số trang: 439Mã EAN: 8936230471186NXB liên kết: NXB Công ThươngSách do Công ty TNHH Văn hóa và Truy...,199000,199000,0,0,0,0.0,0.0,
